Date,User ID,Email,Is Active,Chat Suggested Lines Added,Chat Suggested Lines Deleted,Chat Accepted Lines Added,Chat Accepted Lines Deleted,Chat Total Applies,Chat Total Accepts,Chat Total Rejects,Chat Tabs Shown,Tabs Accepted,Edit Requests,Ask Requests,Agent Requests,Cmd+K Usages,Subscription Included Reqs,API Key Reqs,Usage Based Reqs,Bugbot Usages,Most Used Model,Most Used Apply Extension,Most Used Tab Extension,Client Version
2025-04-27T00:00:00.000Z,186637084,sarahanderson@smith.com,True,807,14,780,11,20,12,6,21,7,0,0,4,0,4,0,0,0,default,go,sql,0.49.6
2025-04-27T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-27T00:00:00.000Z,194767458,julia38@torres.org,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,26813301,ttaylor@hotmail.com,True,159,41,146,37,14,8,5,108,12,0,0,7,0,7,0,0,0,default,js,js,0.49.6
2025-04-28T00:00:00.000Z,50432902,justin53@yahoo.com,True,780,407,231,80,61,25,35,37,12,0,0,14,0,14,0,0,0,claude-3.7-sonnet,ts,go,0.49.6
2025-04-28T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,158021034,olsondavid@gmail.com,True,8317,2990,2327,1404,138,32,79,81,13,0,0,35,1,36,0,0,0,claude-3.7-sonnet-thinking,tsx,go,0.49.6
2025-04-28T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,183676659,stanley75@graham.net,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,default,,,
2025-04-28T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,True,10,8,4,3,1,0,0,41,2,0,0,1,0,1,0,0,0,default,tsx,tsx,0.49.6
2025-04-28T00:00:00.000Z,183895883,owatson@reed-fox.com,True,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,,tsx,
2025-04-28T00:00:00.000Z,184354755,tristanknight@hernandez.com,True,171,99,69,69,14,7,7,67,12,0,0,6,0,6,0,0,0,default,go,go,0.48.6
2025-04-28T00:00:00.000Z,186637084,sarahanderson@smith.com,True,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,default,,,
2025-04-28T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,194767458,julia38@torres.org,True,1075,510,393,432,28,12,11,0,0,0,0,17,0,17,0,0,0,claude-3.7-sonnet-thinking,js,,0.49.5
2025-04-28T00:00:00.000Z,196253565,keithcampbell@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,196259226,byrddavid@yahoo.com,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,default,,,
2025-04-28T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-28T00:00:00.000Z,196343568,gibbschristopher@berger.info,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,26813301,ttaylor@hotmail.com,True,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,0,0,gpt-4o,,ts,
2025-04-29T00:00:00.000Z,50432902,justin53@yahoo.com,True,1423,541,487,175,75,28,39,11,3,0,0,32,0,32,0,0,0,default,ts,graphql,0.49.6
2025-04-29T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,158021034,olsondavid@gmail.com,True,2410,1200,1255,604,112,61,48,194,40,0,0,33,0,33,0,0,0,claude-3.7-sonnet-thinking,tsx,ts,0.49.6
2025-04-29T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,183676659,stanley75@graham.net,True,299,445,58,149,19,3,14,169,50,0,0,10,4,14,0,0,0,claude-3.7-sonnet,tsx,tsx,0.48.9
2025-04-29T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,True,18,7,18,7,4,4,0,35,3,0,0,4,0,4,0,0,0,default,tsx,tsx,0.49.6
2025-04-29T00:00:00.000Z,183895883,owatson@reed-fox.com,True,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,claude-3.7-sonnet,,,
2025-04-29T00:00:00.000Z,184354755,tristanknight@hernandez.com,True,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,default,,,
2025-04-29T00:00:00.000Z,186637084,sarahanderson@smith.com,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,go,
2025-04-29T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,194767458,julia38@torres.org,True,39,7,23,5,5,4,1,13,2,0,0,6,1,7,0,0,0,claude-3.7-sonnet-thinking,json,plist,0.49.6
2025-04-29T00:00:00.000Z,196253565,keithcampbell@hotmail.com,True,930,366,553,304,43,19,11,233,19,0,20,14,0,34,0,0,0,claude-3.7-sonnet-thinking,tsx,tsx,0.49.6
2025-04-29T00:00:00.000Z,196259226,byrddavid@yahoo.com,True,90,1,90,1,2,2,0,301,66,0,1,5,0,6,0,0,0,default,go,go,0.49.6
2025-04-29T00:00:00.000Z,196265219,erinjones@yahoo.com,True,98,41,62,37,8,5,1,49,8,0,27,0,0,27,0,0,0,default,tsx,tsx,0.49.6
2025-04-29T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-29T00:00:00.000Z,196343568,gibbschristopher@berger.info,True,3,2,3,2,1,1,0,175,27,0,0,1,0,1,0,0,0,default,go,go,0.49.6
2025-04-29T00:00:00.000Z,196675998,william55@gates-anderson.com,True,224,33,17,4,17,4,13,53,4,0,0,10,0,10,0,0,0,default,go,go,0.49.6
2025-04-29T00:00:00.000Z,196720509,nsimpson@hotmail.com,True,0,0,0,0,0,0,0,136,26,0,0,0,0,0,0,0,0,,,go,
2025-04-30T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,50432902,justin53@yahoo.com,True,1491,848,456,286,88,37,45,33,5,0,1,72,0,73,0,0,0,default,tsx,tsx,0.49.6
2025-04-30T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,158021034,olsondavid@gmail.com,True,2185,630,628,5,33,5,21,33,10,0,0,10,1,11,0,0,0,claude-3.7-sonnet-thinking,go,tsx,0.49.6
2025-04-30T00:00:00.000Z,182627060,usmith@gmail.com,True,2,1,0,0,1,0,0,0,0,0,0,19,0,19,0,0,0,default,nvmrc,,0.49.6
2025-04-30T00:00:00.000Z,183676659,stanley75@graham.net,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,183895883,owatson@reed-fox.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,184354755,tristanknight@hernandez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,194767458,julia38@torres.org,True,1174,35,1174,35,19,19,0,2,0,0,0,13,0,13,0,0,0,claude-3.7-sonnet-thinking,tsx,json,0.49.6
2025-04-30T00:00:00.000Z,196253565,keithcampbell@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,196259226,byrddavid@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-30T00:00:00.000Z,196343568,gibbschristopher@berger.info,True,0,0,0,0,0,0,0,221,26,0,0,0,0,0,0,0,0,,,go,
2025-04-30T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,50432902,justin53@yahoo.com,True,1547,859,392,178,27,11,14,79,8,0,3,9,0,12,0,0,0,claude-3.7-sonnet-thinking,go,go,0.49.6
2025-05-01T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,158021034,olsondavid@gmail.com,True,4757,1491,9,1,21,1,13,0,0,0,0,3,0,3,0,0,0,claude-3.7-sonnet-thinking,tsx,,0.49.6
2025-05-01T00:00:00.000Z,182627060,usmith@gmail.com,True,9,1,9,1,1,1,0,0,0,0,1,3,0,4,0,0,0,default,xml,,0.49.6
2025-05-01T00:00:00.000Z,183676659,stanley75@graham.net,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,183895883,owatson@reed-fox.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,184354755,tristanknight@hernandez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,194767458,julia38@torres.org,True,34,9,26,5,6,4,1,0,0,0,0,4,0,4,0,0,0,claude-3.7-sonnet,mm,,0.49.6
2025-05-01T00:00:00.000Z,196253565,keithcampbell@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196259226,byrddavid@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196343568,gibbschristopher@berger.info,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-01T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,50432902,justin53@yahoo.com,True,2158,710,547,186,73,22,50,340,70,0,0,16,0,16,0,0,0,claude-3.7-sonnet-thinking,go,go,0.49.6
2025-05-02T00:00:00.000Z,158006748,jessicaprice@oneal.com,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,default,,,
2025-05-02T00:00:00.000Z,158021034,olsondavid@gmail.com,True,7119,4160,1094,1315,75,22,43,20,2,0,0,17,0,17,0,0,0,claude-3.7-sonnet-thinking,tsx,json,0.49.6
2025-05-02T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,183676659,stanley75@graham.net,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,183895883,owatson@reed-fox.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,184354755,tristanknight@hernandez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,194767458,julia38@torres.org,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196253565,keithcampbell@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196259226,byrddavid@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-02T00:00:00.000Z,196343568,gibbschristopher@berger.info,True,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,,,js,
2025-05-02T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,50432902,justin53@yahoo.com,True,470,240,405,203,27,23,4,423,84,0,0,24,3,27,0,0,0,gemini-2.5-pro-exp-03-25,tsx,tsx,0.49.6
2025-05-03T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,158021034,olsondavid@gmail.com,True,4573,2161,41,18,83,5,72,84,19,0,0,30,0,30,0,0,0,claude-3.7-sonnet-thinking,tsx,tsx,0.49.6
2025-05-03T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,183676659,stanley75@graham.net,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,183895883,owatson@reed-fox.com,True,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,default,,,
2025-05-03T00:00:00.000Z,184354755,tristanknight@hernandez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,194767458,julia38@torres.org,True,0,0,0,0,0,0,0,4,0,0,0,18,0,18,0,0,0,claude-3.7-sonnet,,json,
2025-05-03T00:00:00.000Z,196253565,keithcampbell@hotmail.com,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,claude-3.7-sonnet-thinking,,,
2025-05-03T00:00:00.000Z,196259226,byrddavid@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,196343568,gibbschristopher@berger.info,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-03T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,50432902,justin53@yahoo.com,True,19,14,0,0,1,0,1,118,21,0,1,1,0,2,0,0,0,claude-3.7-sonnet-thinking,tsx,tsx,0.49.6
2025-05-04T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,158021034,olsondavid@gmail.com,True,2364,1561,131,12,64,5,56,120,14,0,0,16,0,16,0,0,0,claude-3.7-sonnet-thinking,tsx,tsx,0.49.6
2025-05-04T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,183676659,stanley75@graham.net,True,186,143,48,32,9,3,6,264,56,0,0,6,10,16,0,0,0,claude-3.7-sonnet,tsx,tsx,0.48.9
2025-05-04T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,183895883,owatson@reed-fox.com,True,95,16,0,0,4,0,4,290,36,0,3,6,1,10,0,0,0,default,tsx,tsx,0.49.6
2025-05-04T00:00:00.000Z,184354755,tristanknight@hernandez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,194767458,julia38@torres.org,True,100,10,100,10,7,7,0,0,0,0,0,7,0,7,0,0,0,claude-3.7-sonnet,js,,0.49.6
2025-05-04T00:00:00.000Z,196253565,keithcampbell@hotmail.com,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,claude-3.7-sonnet-thinking,,,
2025-05-04T00:00:00.000Z,196259226,byrddavid@yahoo.com,True,34,44,12,9,8,2,5,118,15,0,0,5,27,32,0,0,0,claude-3.5-sonnet,go,go,0.49.6
2025-05-04T00:00:00.000Z,196265219,erinjones@yahoo.com,True,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,,tsx,
2025-05-04T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,196275726,castrosherry@barron.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,196343568,gibbschristopher@berger.info,True,14,15,0,0,5,0,4,267,53,0,6,2,0,8,0,0,0,claude-3.7-sonnet,go,go,0.49.6
2025-05-04T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-04T00:00:00.000Z,198669145,apace@morrison.net,True,0,0,0,0,0,0,0,98,3,0,11,0,0,11,0,0,0,default,,ts,
2025-05-04T00:00:00.000Z,198705864,vmoore@hotmail.com,True,1169,477,246,34,95,16,75,280,36,0,0,20,21,41,0,0,0,default,go,go,0.49.6
2025-05-05T00:00:00.000Z,26813301,ttaylor@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,50432902,justin53@yahoo.com,True,173,39,129,38,9,7,2,241,57,0,1,12,0,13,0,0,0,claude-3.7-sonnet-thinking,sql,go,0.49.6
2025-05-05T00:00:00.000Z,158006748,jessicaprice@oneal.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,158021034,olsondavid@gmail.com,True,5969,2356,705,561,66,6,57,362,98,0,0,35,8,43,0,0,0,claude-3.7-sonnet-thinking,tsx,tsx,0.49.6
2025-05-05T00:00:00.000Z,182627060,usmith@gmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,183676659,stanley75@graham.net,True,712,314,242,166,33,13,17,138,28,0,0,19,0,19,0,0,0,claude-3.7-sonnet,tsx,tsx,0.48.9
2025-05-05T00:00:00.000Z,183725473,walkerdaniel@hotmail.com,True,318,227,48,35,20,5,15,19,4,0,0,11,0,11,0,0,0,default,tsx,ts,0.49.6
2025-05-05T00:00:00.000Z,183895883,owatson@reed-fox.com,True,23,6,15,1,3,1,2,167,35,0,4,6,1,11,0,0,0,default,tsx,tsx,0.49.6
2025-05-05T00:00:00.000Z,184354755,tristanknight@hernandez.com,True,133,60,125,60,8,7,1,55,4,0,0,10,0,10,0,0,0,default,ts,ts,0.48.6
2025-05-05T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,194767458,julia38@torres.org,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,196253565,keithcampbell@hotmail.com,True,0,0,0,0,0,0,0,11,2,0,0,2,0,2,0,0,0,claude-3.7-sonnet-thinking,,tsx,
2025-05-05T00:00:00.000Z,196259226,byrddavid@yahoo.com,True,26,23,12,14,5,1,3,384,80,0,0,6,5,11,0,0,0,default,go,go,0.49.6
2025-05-05T00:00:00.000Z,196265219,erinjones@yahoo.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,196269555,stephanieprice@ramirez.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,196275726,castrosherry@barron.com,True,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,,,yaml,
2025-05-05T00:00:00.000Z,196343568,gibbschristopher@berger.info,True,43,28,22,21,11,6,4,271,44,0,0,6,0,6,0,0,0,claude-3.7-sonnet,go,go,0.49.6
2025-05-05T00:00:00.000Z,196720509,nsimpson@hotmail.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-05-05T00:00:00.000Z,198669145,apace@morrison.net,True,13,7,7,3,6,3,0,205,8,0,17,0,3,20,0,0,0,default,tsx,tsx,0.49.6
